"display_title","summary_short","critics_pick"
"Interstellar","In Christopher Nolans sciencefiction parable Interstellar Earth is dying and a team of astronauts searches the universe for a new home for the human race",1
"Into the Woods","8220Into the Woods8221 Rob Marshall8217s Disney screen adaptation of the Stephen SondheimJames Lapine musical is a mashup of Grimm fairy tales viewed through a postFreudian prism",1
"Iris","Mr Maysles8217s penultimate documentary shows the 93yearold Ms Apfel in all her bedecked glory and the confused reactions she elicits",1
"It Comes at Night","The sophomore feature by Trey Edward Shults is as spookily selfassured and ambitious as Krisha",1
"It Felt Like Love","It Felt Like Love considers the dangers of teenage desire through the experiences of a coltish 14yearold girl who randomly fixes on a weedsmoking tough guy",1
"It Follows","David Robert Mitchell8217s second feature film is set in a Detroit suburb where a deadly menace is passed from one person to another through sex",1
"J. Edgar","J Edgar is less the story of the public face of the FBI than it is a look at the private man",1
"Jackie","Natalie Portman is perfect in Pablo Larrans multifaceted portrait of the former first lady Jacqueline Kennedy as an embodiment of grief and as an architect of brilliant political theater",1
"Jajouka, Something Good Comes to You","Jajouka Something Good Comes to You playing at the Museum of Modern Art tells the story of a band from a Moroccan village",1
"James White","The title character played by Christopher Abbott grapples with his future while caring for his ailing mother in this Josh Mond film",1
"Jane Eyre","Cary Joji Fukunagas Jane Eyre starring Mia Wasikowska is a splendid example of how to tackle the daunting duty of turning a beloved work of classic literature into a movie",1
"Jean-Michel Basquiat: The Radiant Child","Tamra Daviss documentary a romantic depiction of JeanMichel Basquiat blazingly brings to life the artists work and its cultural context",1
"Jia Zhangke, a Guy From Fenyang","The documentary is a decent and conscientious companion piece to Mr Zhangkes films",1
"Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Clifton","In his documentary about Jim Carrey Andy Kaufman and the making of Man on the Moon the director Chris Smith finds multiple realities and laughs",1
"Joan Didion: The Center Will Not Hold","This documentary is directed by Griffin Dunne Ms Didions nephew a relationship that limits the movie in certain ways but opens it up in others",1
"Joan Rivers: A Piece Of Work","This convulsively funny movie takes an upclose and sometimes queasypersonal approach to its motormouth subject",1
"John Wick","In 8220John Wick8221 a thriller starring Keanu Reeves the protagonist resumes his career as an assassin after villains break into his home and kill his dog",1
"Joshy","Written and directed by Jeff Baena this comedy features Thomas Middleditch and Adam Pally among others enjoying a weekend of middleclass debauchery",1
"Judy Moody and the Not Bummer Summer","Judy Moody and the Not Bummer Summer is John Schultzs exuberant film featuring Megan McDonalds popular childrens book character",1
"Karl Marx City","In this documentary a filmmaker returns to her hometown in the former East Germany seeking personal and political insight",1
"Kedi","This documentary profiles distinctive street cats in Istanbul and the human communities that interact with them",1
"Kevin Hart: What Now?","The comedian documents his popular 2015 tour in ways surprising and satisfying twothirds of the time",1
"Khodorkovsky","The Russian Mikhail Khodorkovsky became an oligarch but his fortunes fell when he was incarcerated His story is the focus of a documentary by Cyril Tuschi",1
"Kicks","This debut feature depicts a 15yearold in a tough neighborhood who buys the shoes of his dreams  and the desperation he feels when they are taken from him",1
"Kill Me Please","Murdered women arouse adolescent hormones in this gorgeous Brazilian thriller",1
"King Jack","Felix Johnsons comingofage story portrays a teenage boy in a small town in which a bully exercises his capacity for cruelty",1
"Knock Knock","The actor plays a father who succumbs to a pair of women on a stormy night only to awaken afterward to find himself tormented by them",1
"Krisha","A house in Texas becomes the site of a womans undoing in Trey Edward Shultss film",1
"Kubo and the Two Strings","This movie from Laika Films Coraline and ParaNorman combines stopmotion animation and computergenerated backgrounds with a moving and magical tale",1
"La Camioneta: The Journey of One American School Bus","The documentary La Camioneta follows the journey of a decommissioned American school bus as it travels from Virginia to Guatemala",1
"La jalousie","In Philippe Garrels Jealousy emotional ambivalence and wayward passion span years among a group of struggling artists",1
"La La Land","Ms Stone and Mr Gosling sing and dance their way to art and love in Damien Chazelles new movie",1
"La pirogue","The Pirogue is the story of 30 men and one woman who set off in a long brightly painted wooden canoe on a voyage from Africa to Spain",1
"Lady Bird","Saoirse Ronan plays a high school senior who insists on asserting her individuality and it makes for a thrilling film",1
"Laurence Anyways","In Laurence Anyways a couple endure  off and on  after one confides to the other that he wants to become a woman",1
"Le Prénom","Whats in a Name directed by Matthieu Delaporte and Alexandre de la Patellire centers on a fractious dinner party",1
"Learning to Drive","This grownup drama stars Patricia Clarkson as a New York book critic and Ben Kingsley as her IndianAmerican driving instructor",1
"Leaves of Grass","Edward Norton plays two roles in a straighttwinstonedtwin comedy",1
"Lee Daniels' The Butler","Forest Whitaker plays the title character in Lee Daniels The Butler which covers eight presidential administrations and beyond",1
"Len and Company","Rhys Ifans stars as a disaffected former rock star who retreats to the countryside after a meltdown only to host some surprise guests with concerns of their own",1
"Leonard Cohen: Bird on a Wire","Tony Palmers documentary follows this singersongwriter in an early phase of his career during a somewhat disordered 1972 European tour",1
"Let It Fall: L.A. 1982-1992","Politicians the police victims and survivors deliver an oral history of the rising racial tensions that led to the early1990s Los Angeles riots",1
"Let It Rain","The lowlevel politicians and media types who inhabit Agns Jaouis Let It Rain feel victimized in one way or another",1
"Let Me In","In the vampire romance Let Me In Matt Reeves tells a tale not about sex but rather about the fragility and loneliness of children",1
"Let the Fire Burn","Let the Fire Burn compiles found video to offer a riveting chronicle of the radical group Move and the Philadelphia polices catastrophic siege of its headquarters in 1985",1
"Letters from the Big Man","Sasquatch makes a connection with a woman of the woods in Christopher Munchs lovely delightfully idiosyncratic Letters From the Big Man",1
"Lincoln","Lincoln starring Daniel DayLewis is more a political thriller than a biopic a civics lesson that is energetically staged and alive with moral energy placing slavery at the center of the story",1
"Lion Ark","The documentary Lion Ark follows a team of rescuers as they track down lions exploited in Bolivian shows",1
"Little Men","In an adventure story edged with unspoken risks the young actors take the kind of chances that their more careful elders have been trained to avoid",1
"Little White Lie","In the documentary Little White Lie a girl who grew up viewing herself as Jewish and white gradually begins to realize that her biological father was black",1
"Logan Lucky","This classconscious caper with Channing Tatum and Adam Driver as downontheirluck brothers is ridiculously entertaining",1
"Long Strange Trip","Amir BarLevs fourhour documentary chronicles the bands deeply musical journey while placing it at the joyous center of the counterculture",1
"Lord Byron","Paul Batiste stars in this Lord Byron which was made for less than 1000",1
"Lost River","Bleak Michigan scenery is the backdrop for a form of horror film that ponders people and places left behind in the name of progress",1
"Love & Air Sex","Love  Air Sex which follows two couples whose relationships have recently dissolved is set in a city teeming with singles and air sex competitions",1
"Love & Friendship","This adaptation starring Kate Beckinsale is enlivened by Mr Stillmans keen eye for character and Austens sense of fun",1
"Love & Mercy","In Bill Pohlad8217s Beach Boys biopic Paul Dano plays Mr Wilson in the 1960s making 8220Pet Sounds8221 and John Cusack plays him in the 1980s making peace",1
"Love Hunter","The Serbian film Love Hunter centers on an ambitious Serbian musician trying to succeed in New York while making ends meet as a cabdriver",1
"Lovers of Hate","The bond between two brothers becomes irretrievably twisted in Lovers of Hate",1
"Loves Her Gun","After a violent mugging a young New York woman moves to Austin Tex in search of peace and security in Loves Her Gun",1
"Lovesong","The movie directed by So Yong Kim explores the mystery of unspoken love",1
"Loving","Jeff Nicholss Loving is a fictionalization of the story of Mildred and Richard Loving an interracial couple whose civil rights case went to the Supreme Court",1
"Lucky","In one of his last roles Harry Dean Stanton shines as a cantankerous old man",1
"Mad Max: Fury Road","This George Miller film with Tom Hardy as the hero has the spirit of a sequel to the original Speed and efficiency are of the essence leavened with nasty biker wit and distaste for authority",1
"Mademoiselle Chambon","In Stphane Brizs Mademoiselle Chambon a romantic triangle is barely acknowledged",1
"Maggie's Plan","This film the fifth from Rebecca Miller stars Ms Gerwig as a millennial who on the way to finding a sperm donor falls for a parttime professor",1
"Magic Mike","Channing Tatum stars in Magic Mike Steven Soderberghs funny enjoyable romp about male strippers and the American dream",1
"Magic Mike XXL","Channing Tatum returns in this comedy which transports the audience to a world of sexual intrigue that feels as safe and wholesome as a child8217s birthday party",1
"Make Believe","Make Believe follows teenagers competing at an international magic contest in Las Vegas",1
"Making the Boys","Making the Boys is a captivating documentary about the creation of and reaction to the breakthrough play The Boys in the Band",1
"Mandela: Long Walk to Freedom","Mandela Long Walk to Freedom is a stately film biography of Nelson Mandela starring Idris Elba",1
"Manifesto","Julian Rosefeldts art installation is now a film with this chameleonic actress morphing into multiple characters",1
"Marguerite","Xavier Giannolis comedy inspired by the life of the talentless American socialite Florence Foster Jenkins stars Catherine Frot as an aspiring singer",1
"Marwencol","Jeff Malmbergs Marwencol shows how an artist recovering from an assault uses a fantasy world to heal himself",1
"Maya the Bee Movie","Maya hears nothing but donts from grownups Bees dont dream and Bees dont sing and Bees dont have fun",1
"Mediterranea","Risking everything to seek a better life in Europe two close friends leave West Africa to settle in Italy in Jonas Carpignanos first feature film",1
"Megamind","Evil becomes good and vice versa in Megamind a new 3D fantasy from DreamWorks Animation",1
"Megan Leavey","Based on a true story this film starring Kate Mara is both harrowing and heartstringtugging",1
"Men Go to Battle","This film which takes place during the early years of the Civil War pushes back against the rigid formality of the period genre",1
"Menashe","In this sweet often understated film set in a Hasidic neighborhood the title character is a widower who must remarry to regain custody of his son",1
"Meru","This film about mountain climbers pokes at the psychology of extremity zeroing in on pushthelimits personalities for whom calculating risk is a way of life",1
"Mia Madre","Nanni Morettis film starring Margherita Buy as a movie director and John Turturro as an American star makes a case for blurriness in art and life",1
"Michael","Michael puts the viewer in the shoes of the perpetrator and to a lesser degree his captive much of whose relationship resembles a fatherson bond",1
"Midnight in Paris","Woody Allen with the help of Paris and the ghosts of its famous dead has found a credible blend of whimsy and wisdom",1
"Miles Ahead","Don Cheadle stars in  and directed  this biopic about the jazz trumpeter who was a sly chameleon both in his life and in his music",1
"Miss Hokusai","This extraordinary film is a lively inquiry into the life of the daughter of the 19thcentury Japanese painter Katsushika Hokusai",1
"Miss Peregrine’s Home for Peculiar Children","Tim Burtons adaptation of the novel by Ransom Riggs describes the adventures of an adolescent who travels through time to prove his grandfather right",1
"Mission to Lars","This documentary focuses on a man with fragile X syndrome whose lifelong wish has been to meet Lars Ulrich the drummer for Metallica",1
"Mistaken for Strangers","A scruffy documentary of the band the Nationals 201011 European tour is less about the music than about leftfield interviews with bemused band members",1
"Mister Universo","The Italian directors Tizza Covi and Rainer Frimmels hybrid of a film follows a young man on a sort of odyssey across Italy",1
"Mistress America","This smart fastpaced film advertised as a screwball comedy subverts this most buoyant of genres with a steady undertow of anxiety dread and anger",1
"Moneyball","Brad Pitt plays Billy Beane the baseball executive who challenged traditions of the game in Moneyball",1
"Monster Trucks","A smalltown teenager and a creature released by a geyser are unlikely friends in this liveaction ecofable from the Ice Age director Chris Wedge",1
"Moonlight","Our critic AO Scott says this film about a young black mans coming of age is both a disarmingly personal film and an urgent social document",1
"Moonrise Kingdom","Wes Andersons new film Moonrise Kingdom is a selfconsciously onceuponatime tale of two romantic 12yearolds who create their own paradise by running away",1
"Morris From America","An American teenager seeks his place in the world in Heidelberg Germany",1
"Most Beautiful Island","This suspense film about a woman entering a rabbit hole of urban peril is an effective writingdirecting debut for Ana Asensio who also stars",1
"Mr. Right","This hybrid action thriller and romantic comedy follows Martha who meets a blithe charmer and discovers that hes a hit man",1
"Mud","In Jeff Nicholss third feature two Arkansas boys discover a boat on an overgrown island in the Mississippi River and also discover the leathery loner who inhabits it",1
"Mudbound","Dee Reess new film illuminates the daily cruelties in postWorld War II Mississippi",1
"Mundo Alas","Len Gieco the wellknown Argentine folk singer is determined to put the spotlight on others in the documentary Mundo Alas World Wings",1
"Musicwood","Musicwood a documentary by Maxine Trump examines the thicket of issues that pit Native Americans in Alaska against the makers of acoustic guitars",1
"My Golden Days","Arnaud Desplechins film tells of a middleaged anthropologist and the women who left their imprint on different stages of his life",1
"My Joy","My Joy directed by Sergei Loznitsa creates an air of dread that instantly settles around a young truck driver",1
"My King","Told in flashback this film follows the collision and decadelong duel between a guarded lawyer and an impulsively charismatic restaurateur",1
"My Piece of the Pie","In My Piece of the Pie Cdric Klapisch portrays the relationship between a business wheelerdealer and his housekeeper",1
"My Voice, My Life","This documentary from Ruby Yang about students who are not the expected high achievers captures the feeling of spreading one8217s wings onstage for the first time",1
"Nana","Nana a French film by Valrie Massadian sees the world through the eyes of a 4yearold girl on a farm",1
"Nebraska","Nebraska Alexander Paynes fourth film set at least partly in his home state stars Bruce Dern Will Forte and June Squibb in a comedy that gets under a cantankerous older mans skin",1
"Neil Young Journeys","In Jonathan Demmes new documentary Neil Young Journeys the roar is more earthshaking than earsplitting",1
"Neil Young Trunk Show: Scenes From a Concert","Beautifully lighted and meticulously recorded Neil Young Trunk Show looks and sounds like several million bucks",1
"Nenette","The voices of visitors to a Paris zoo serve as a soundtrack to Nicolas Philiberts new film",1
"Niki and Flo","In Niki and Flo two aging neighbors linked by the marriage of their children represent a bridge  and also a battle  between the old Romania and the new",1
"Nise: The Heart of Madness","A drama from Brazil about a psychiatrist who defied medical orthodoxy and treated patients with paint brushes instead of spikes and electroshock therapy",1
"No No: A Dockumentary","No No A Dockumentary looks at the career of Dock Ellis a pitcher with the Pittsburgh Pirates",1
"Nobody's Watching","An Argentine actor played by Guillermo Pfening pins his hopes on a movie career in America",1
"Norman","Norman The Moderate Rise and Tragic Fall of a New York Fixer Joseph Cedars latest film pits Jew against Jew on the fringes of power and influence",1
"Northern Light","The documentary Northern Light is a sneakily compelling endlessly patient observation of three workingclass families in the Upper Peninsula of Michigan",1
"Nostalgia For The Light","Nostalgia for the Light is the director Patricio Guzmns cinematic essay on the search for both our cosmic origins and disappeared political prisoners",1
"Nothing Personal","Lotte Verbeek and Stephen Rea star in Urszula Antoniaks maddeningly enigmatic and sensuous Nothing Personal",1
"Nowhere to Hide","A documentary observes the rising tide of danger and displacement for families living in central Iraq amid the arrival of the Islamic State",1
"O.J.: Made in America","This ESPN documentary extends the narrative beyond the OJ Simpson murder trial as a biography and a history of race fame sports and Los Angeles",1
"Of Gods and Men","Of Gods and Men is based on the true story of a group of French Cistercian Trappist monks caught up and ultimately killed in the violence that engulfed Algeria in the 1990s",1
"Of Men and War","This documentary filmed almost entirely in a California therapy center follows a dozen war veterans racked with emotional suffering",1
"Oki's Movie","Okis Movie in four parts explores film school and romance from the points of view of three characters",1
"Okja","Bong Joonhos latest film on Netflix is a highspeed satire with a conscience and a heart And Tilda Swinton in braces",1
"Older Than Ireland","Thirty wry oldtimers are impressive raconteurs in this documentary directed by Alex Fegan released during the centenary of the Easter Rising",1
"One Cut, One Life","In his final years the documentary pioneer Ed Pincus joined with the filmmaker Lucia Small to record his medical struggles and their own collaboration",1
"One Hundred Mornings","Conor Horgans One Hundred Mornings uses an apocalyptic event as a springboard into the human psyche",1
"Only the Brave","This action drama from Joseph Kosinski  about the Granite Mountain Hotshots of Prescott Ariz  offers some real feeling under a schematic surface",1
"Operation Avalanche","Matt Johnson and Owen Williams star in this period comedythriller about film nerds on a spy mission sneaking onto a set of 2001 A Space Odyssey",1
"Optimisti","The Optimists consists of five vignettes each of whose cynical stories of humble people embracing absurd illusions illustrate the universal impulse to believe in a better future no matter what",1
"Orgasm, Inc.","Orgasm Inc walks a careful line between lighthearted expos and gimleteyed journalism",1
"Orion: The Man Who Would Be King","Jeanie Finlays documentary tracks the Presley soundalike singer Jimmy Ellis whose career took off after Presleys death",1
"Ouija: Origin of Evil","In this prequel to Ouija Lulu Wilson delivers chills as a girl with a psychic link to a malevolent board game",1
"Our Last Tango","German Krals documentary is a portrait of the dancers Mara Nieves and Juan Carlos Copes leading tango performers for almost 50 years",1
"Papirosen","Papirosen a documentary by the filmmaker Gastn Solnicki follows generations of his PolishArgentine family",1
"Paradise: Hope","Paradise Hope the third installment in Ulrich Seidls grim film trilogy centers on an adolescent girl who is sent to a summer weightloss camp",1
"ParaNorman","Norman the focus of this beautifullooking 3D stopmotion animation is an 11yearold who cannot only see dead people but is happy to hang out with them",1
"Paterson","This story of a soulful bus driver and basement poet is deceptively simple and nearly perfect with a likely nod to William Carlos Williams",1
"Paul Taylor: Creative Domain","Kate Geis8217s absorbing new documentary follows a Taylor dance 8220Three Dubious Memories8221 as it takes shape in a matter of weeks",1
"Pawn Sacrifice","Edward Zwick directs this film interpretation of the superpowers chess battle waged by Bobby Fischer and Boris Spassky in 1972",1
"Pelican Dreams","8220Pelican Dreams8221 is a study of California8217s brown pelicans by Judy Irving the director of 8220The Wild Parrots of Telegraph Hill8221",1
"Personal Shopper","Olivier Assayass new film is both a supernatural thriller and an unnerving inquiry into the drift and mystery of modern life",1
"Phantom Halo","Rebecca Romijn and Luke Kleintank are also in the cast of this drama which focuses on the sons of a dissolute father",1
"Phantom Thread","Paul Thomas Andersons latest film is a luxuriant love story set in 1950s London",1
"Philomena","Stephen Frearss Philomena follows a Irishwoman forced to give up her son for adoption in the 1950s and the freelance reporter who helps her search for him",1
"Plot for Peace","The documentary 8220Plot for Peace8221 centers on a French commodities trader who helped broker a peaceful end to apartheid in South Africa",1
"Poetry","The South Korean director Lee Changdongs devastating humanistic film Poetry is about the importance of looking closely at the world",1
"Ponies","Ponies involves the interactions of three immigrants from different continents who converge at a ratty New York City betting parlor",1
"Praia do Futuro","This elliptical gay romance by the Brazilian writer and director Karim A239nouz follows its heroes from the warmly golden beach of the title to the cool dampness of Berlin",1
"Premium Rush","Premium Rush stars Joseph GordonLevitt as a bicycle messenger racing around New York City",1
"Prevenge","Alice Lowe wrote directed and stars in this British film about a pregnant serial killer on a darkly comedic odyssey dictated by her malicious fetus",1
"Prince of Broadway","Like its subject the movie is sharp charismatic and so light on its feet we never know which way it will turn",1
"Professor Marston and the Wonder Women","In Professor Marston and the Wonder Women the writerdirector Angela Robinson tells a knotty story with wit sympathy and economy",1
"Project X","Thomas Mann plays a highschool nobody who goes down in history after an extreme party in Project X directed by Nima Nourizadeh",1
"Putty Hill","Matt Porterfields Putty Hill is a moody fusion of fiction and documentary set in a workingclass neighborhood in Baltimore",1
"Queen of Katwe","In this stirring underdog story directed by Mira Nair Madina Nalwanga plays a young Ugandan with a gift for chess supported by Lupita Nyongo as her mother",1
"Queen of the Sun: What Are the Bees Telling Us?","Queen of the Sun Taggart Siegels revelatory documentary on honeybees beekeepers and colony collapse disorder",1
"Queen to Play","In Caroline Bottaros slight but captivating Queen to Play Sandrine Bonnaire plays a chambermaid empowered by her mastery of chess",1
"Quest","This documentary from Jonathan Olshefski follows a North Philadelphia family through the Obama years",1
"R","The Danish drama R set in a maximumsecurity prison isnt the goriest example of its genre but it is challenging nevertheless",1
"Racing Extinction","From the makers of The Cove this documentary centers on the slaughter of creatures for profit without regard for the environmental consequences",1
"Radio Dreams","A fictional San Francisco radio station provides a place for immigrants adrift to bond in the ether",1
"Raees","The king of Bollywood rarely plays the bad guy but in this film hes a criminal whos also fighting corruption in 1980s and 90s India",1
"Rango","Rango directed by Gore Verbinski and featuring the voice of Johnny Depp delights in paying homage to a wide range of westerns",1
"Raw","Julia Ducournaus film unfolds during rush week in a nightmarish veterinary school",1
"Red Hill","Red Hill is a galloping revenge tale that uses young blood to unearth old sins",1
"Red White & Blue","In Red White  Blue Amanda Fuller plays an aimless young woman whose poor choice in onenight stands catches up with her",1
"Redlegs","In Redlegs by Brandon Harris three friends are galvanized by the death of a buddy",1
"Rejoice and Shout","Rejoice and Shout a historical survey of AfricanAmerican gospel music illustrates how it evolved out of the fusion of plantation work songs and Christian hymns",1
"Reset","The job didnt work out in the end but this riveting film documents a choreographers cheerfully tenacious effort as well as his work on one ballet",1
"Restless Creature: Wendy Whelan","A documentary captures this ballerina at a critical moment in 2013 when she was both trying for a comeback and coming to terms with aging",1
"Restrepo","The documentary Restrepo which follows a company of American soldiers in Afghanistan has the spare lyrical force of an elegy",1
"Return","Liza Johnsons sober feature film debut about a soldier returning from overseas duty is a study of depression in a depressed environment",1
"Rid of Me","James Westbys ingenious black comedy Rid of Me follows a womans desperate attempt to fit in with her husbands notsowelcoming former highschool clique",1
"Rio","An animated comedy about a blue macaws adventures in Rio with the voice of Jesse Eisenberg as Blu the macaw",1
"Rosenwald","Aviva Kempner8217s documentary offers a stirring portrait of a Sears executive whose Rosenwald Fund dispensed fellowships to black artists and academics including W E B Du Bois and James Baldwin",1
"Rules Don’t Apply","This film takes comic aim at Hollywood absurdity and at Hughes the eccentric mogul",1
"Rush","Ron Howards Rush tells the story of James Hunt and Niki Lauda Formula One titans and rivals who in 1976 helped push racing into mainstream consciousness",1
"Sand Dollars","Geraldine Chaplin falls for a much younger woman while on a Caribbean vacation",1
"Sausage Party","In this freespirited romp through the supermarket pottymouthed foodstuffs give voice to matters both humorous and spiritual",1
"Savages","Savages Oliver Stones feverish adaptation of Don Winslows drugwar novel is a pulpy daylight noir a western a stoner buddy movie and a love story",1
"Saving Banksy","This documentary honors the streetbased work of the British artist known as Banksy and implicitly criticizes those who would try to turn profits from it",1
"Scheherazade, Tell Me a Story","Yousry Nasrallahs Scheherazade Tell Me a Story resets The Arabian Nights in modernday Cairo",1
"Scott Pilgrim vs. the World","The speedy funny happysad spirit of Scott Pilgrim vs the World is infectious",1
"Secret Sunshine","Lee Changdong is attentive to the routines and rhythms of everyday life in Secret Sunshine But there is nothing ordinary about this movie or about the story it tells",1
"See what I'm saying","This documentary about deaf entertainers focuses on four performers with varying degrees of hearing impairment",1
"Selma","Ava DuVernay8217s film 8220Selma8221 follows civil rights demonstrators in March 1965 across an Alabama bridge and into a new era for black Americans with progress made and promises unkept",1
"Seoul Searching","Set in 1986 the film introduces globally scattered youngsters to their heritage in a plot that both critiques and embraces stereotypes",1
"Shadowman","Richard Hambleton a peer of JeanMichel Basquiat and Keith Haring who went underground was painting right up until his death this fall",1
"Shaun the Sheep Movie","In this stopmotion animation film from the studio that made 8220Wallace  Gromit8221 the sheep run into trouble in their urban adventure",1
"Side Effects","Steven Soderberghs Side Effects follows twists and turns involving a fictitious antidepressant which has its own real Web site",1
"Silver Linings Playbook","Silver Linings Playbook directed by David O Russell finds a man played by Bradley Cooper returning home after a stint in a mental institution",1
"Skyfall","Daniel Craig returns as James Bond in Skyfall a playful 007 movie with exotic locales an island fortress and a fight on a moving train",1
"Solitary Man","In Solitary Man Michael Douglas plays a liar cynic compulsive womanizer and allaround jerk",1
"Something, Anything","In 8220Something Anything8221 a young newlywed disrupts her closest relationships as she tries to put her life back together after a traumatic loss",1
"Somewhere","Sofia Coppolas new film presents a star who has everything including emptiness",1
"Song to Song","This drama about intersecting love lives features themes like betrayal identity and art Religion appears too in the film set in Austin Tex",1
"Soufra","This documentary from Thomas Morgan about a female entrepreneur establishing a business just south of Beirut is a stirring tale of empowerment",1
"Splice","Adrien Brody and Sarah Polley star in a horror film that manages to touch on bioethics abortion and Freudian family dynamics",1
"Spotlight","In this gripping detective story a small group of reporters exposes the churchs role in covering up the sexual abuse of children by priests",1
"Spring Breakers","Spring Breakers delves into a deeply American topic the pursuit of happiness taken to nihilistic extremes",1
"St. Nick","St Nick has a brother and sister on the run Pioneer is a short that grows out of a bedtime story",1
"Star Wars: The Last Jedi","With charm and wit the latest Star Wars movie unites the past and present as it looks toward the future",1
"Starving the Beast","This documentary by Steve Mims describes an ideological war over public higher education that is being conducted state by state",1
"Steve Jobs","The movie burnishes the image of Apples cofounder even as it tries to peek behind the curtain at the gimcrack machinery of omnipotence",1
"Stones in the Sun","Haitian exiles in New York City are forced to confront the pain of their shared history in 8220Stones in the Sun8221",1
"Stonewall Uprising","Stonewall Uprising examines a police raid on the Stonewall Inn in Greenwich Village that touched off three days of unrest",1
"Stranger Things","In Stranger Things a young woman arrives in an English seaside village to clear out her dead mothers house and finds an unexpected resident",1
"Strongman","Strongman Zachary Levys lumpinthethroat portrait of an aging muscleman is an outsider tale of unforced rawness and lilting poignancy",1
"Sully","Sully Clint Eastwoods film about US Airways Flight 1549 largely involves what happens after he his crew and his passengers are plucked from the Hudson",1
"Summer Pasture","Lynn True Nelson Walker and Tsering Perlo followed a young family living as Tibetans have for 4000 years but aware of the pressures of modern life",1
"Sunday Ball","Eryk Rochas documentary turns churning legs and arms into a sensory experience thats bigger on poetry than on clarity",1
"Sunset Song","In Terence Daviess film scenes of Scottish rural life are stitched together in a slowmoving story rife with both natural beauty and tragedy",1
"Supersonic","This documentary looks at the rock groups founding members Liam and Noel Gallagher through older footage and animated recreations",1
"Swiss Army Man","Starring Daniel Radcliffe and Paul Dano this impossibletocategorize film about a castaway and a corpse is an original mix of the macabre and the magical",1
"Symphony of the Soil","The documentary Symphony of the Soil celebrates the nurturing powers of the ground beneath our feet",1
"T-Rex","Claressa Shields the first female boxer to win an Olympic gold medal is the indomitable center of Drea Cooper and Zackary Caneparis impressive documentary",1
"T2 Trainspotting","The sequel to the gloriously scabrous film that kickstarted the careers of Danny Boyle and Ewan McGregor illustrates the consequences of a misspent youth",1
"Tallulah","Almost a decade after Juno Ellen Page and Allison Janney are paired again in this film written and directed by Sian Heder",1
"Tangerine","Sean Baker8217s fast funny comedy shot on iPhones doesn8217t dive deep into transgender identity but shows that femininity is a mask that can be slipped on and off",1
"Tangled","With Tangled a version of the Rapunzel story Disney gives its classic animation an update of sorts",1
"Tatsumi","Eric Khoos documentary looks at how Yoshihiro Tatsumi made Japanese comics darker and more sophisticated",1
"Tears of Gaza","Wrenching footage of missile attacks and their civilian victims in Vibeke Lokkebergs film transcends the politics of the conflict that underlies the bloodshed",1
"Terms and Conditions May Apply","Terms and Conditions May Apply examines the repercussions of clicking on the Agree button on those dense and typically unread online user contracts",1
"The 100-Year-Old Man Who Climbed Out the Window and Disappeared","This often droll Swedish movie is a new entry in the genre that might be called Old People Behaving Hilariously",1
"The Adjustment Bureau","Matt Damon and Emily Blunt in a metaphysical mess in George Nolfis Adjustment Bureau",1
"The Army of Crime","The poet Missak Manouchian and other outsiders battle the German occupiers and their French collaborators",1
"The Artist","The Artist is a touching and mostly silent movie with a musical soundtrack about an aging film idol a peppy young actress and the passing of the silentmovie era",1
"The Autobiography of Nicolae Ceausescu","Andrei Ujicas documentary The Autobiography of Nicolae Ceausescu is a cinematic tour de force that tracks the rise reign and grim fall of that executed Romanian dictator",1
"The Best Exotic Marigold Hotel","Retirementage Britons travel to India where adventures await in the ensemble comedy The Best Exotic Marigold Hotel",1
"The Big Picture","The Big Picture is a French thriller about a husband who fakes his death after accidentally killing his wifes lover then assumes the lovers identity",1
"The Big Short","Adam McKays adaptation of Michael Lewiss account of fund managers who bet against the real estate bubble finds laughs within the crisis",1
"The Big Sick","Kumail Nanjiani stars opposite Zoe Kazan in this very funny moving true story about how he found and almost lost love Holly Hunter and Ray Romano also star",1
"The Boy and the World","Al Abreus film unleashes the exuberance of a child on the harsh realities of Brazil today with dark wit and satire",1
"The Breadwinner","The children in this animated film based on a novel by Deborah Ellis navigate life under the Taliban",1
"The Call","In The Call a 911 operator takes a lifealtering call from a teenage girl who has just been abducted",1
"The City Dark","The City Dark a documentary about light pollution explores what our increasing inability to see the night sky means for us philosophically as well as scientifically",1
"The Company Men","Ben Affleck and Chris Cooper play characters who learn that in a company concerned about the bottom line almost everyone is expendable",1
"The Confirmation","This Bob Nelson character study stars Clive Owen as a troubled handyman who has more than stolen tools on his mind",1
"The Conjuring","In James Wans horror tale The Conjuring Lili Taylor and Ron Livingston are terrorized by the bumps and creaks around them",1
"The Conjuring 2","James Wans sequel to his horror hit concerns a London poltergeist in 1977 Vera Farmiga and Patrick Wilson return as paranormal investigators",1
"The Counselor","Ridley Scott and Cormac McCarthy team up for The Counselor a tale of a corrupt highflying lawyer dealing with a drug cartel",1
"The Dark Horse","The Dark Horse a film inspired by a documentary is about Gen Potini a Maori speedchess player who used his skill to help young players",1
"The Dark Knight Rises","Christopher Nolans Dark Knight Rises wraps up his postSept 11 epic of ambivalent good vs multidimensional evil with a burst of light",1
"The Descendants","In The Descendants George Clooney plays the scion of an old Hawaii family with many troubles on his hands",1
