display_title,mpaa_rating,critics_pick,byline,headline,summary_short,publication_date,opening_date,date_updated,boxoffice,genre,director,writer,actor,nomination
Don’t Think Twice,R,1,STEPHEN HOLDEN,Review: ‘Don’t Think Twice’: Mike Birbiglia’s Smart Comedy,"The movie follows an improv troupe and its members, who can be both supportive and catty.",2016-07-21,2016-07-22,2017-11-02 4:18,NA,NA,NA,NA,NA,NA
Drunk Stoned Brilliant Dead: The Story of the National Lampoon,NA,1,STEPHEN HOLDEN,Review: The Good Old Tasteless Days in ‘Drunk Stoned Brilliant Dead’,"Douglas Tirola’s documentary about The National Lampoon brings back the 1970s, when “We’ll kill this dog” was an acceptable magazine cover line.",2015-09-24,2015-09-25,2017-11-02 4:18,NA,NA,NA,NA,NA,NA
Dunkirk,PG-13,1,MANOHLA DARGIS,"Review: ‘Dunkirk’ Is a Tour de Force War Movie, Both Sweeping and Intimate","In his brilliant new film, Christopher Nolan revisits a harrowing, true World War II mission in a story of struggle, survival and resistance.",2017-07-20,2017-07-21,2017-11-02 4:18,188042171,Action,0,Christopher Nolan,0,1
E agora? Lembra-me,Not Rated,1,JEANNETTE CATSOULIS,The Beauty of the Moment Blurs the Pain of Memory,Joaquim Pinto and his husband open their lives to the audience in “What Now? Remind Me.”,2014-08-07,2013-09-01,2017-11-02 4:18,NA,NA,NA,NA,NA,NA
Eat That Question: Frank Zappa in His Own Words,R,1,NEIL GENZLINGER,"Review: ‘Eat That Question,’ on Frank Zappa, the Media and Cultural Upheavals",A documentary about Zappa is rich in archival interviews that say worlds about this musician — who was well known but not well understood — and his times.,2016-06-23,2016-06-24,2017-11-02 4:18,354981,Documentary,0,N/A,0,0
Eccentricities of a Blonde-Haired Girl,Not Rated,1,STEPHEN HOLDEN,"Life, That Continuing Mystery, Should Be Lived, Not Worried Over","Manoel de Oliveira raises questions about the nature of life in “Eccentricities of a Blond Hair Girl,” an adaptation of a short story by Eça de Queiros.",2010-08-05,2010-08-06,2017-11-02 4:18,NA,Drama,0,"Eça de Queirós (short story), Manoel de Oliveira (adaptation), Manoel de Oliveira (screenplay)",0,0
Eden,R,1,JEANNETTE CATSOULIS,"Review: &#8216;Eden,&#8217; a D.J.&#8217;s Passion for Electronic Music, by Mia Hansen-Love","The film chronicles the electronic music scene in 1990s Paris, from boom to burnout.",2015-06-18,2015-06-19,2017-11-02 4:18,NA,Crime,1,"Richard B. Phillips (screenplay), Megan Griffiths (screenplay), Richard B. Phillips (story), Chong Kim (story)",0,0
Elle,R,1,A. O. SCOTT,"Review: In ‘Elle,’ Isabelle Huppert Subverts the Role of Rape Victim","Paul Verhoeven’s film is a psychological thriller, a strangely dry-eyed melodrama, a kinky sex farce and a savage comedy of bourgeois manners.",2016-11-10,2016-11-11,2017-11-02 4:18,2339735,Crime,0,"Philippe Djian (novel), David Birke (screenplay), Harold Manning (french adaptation)",1,1
Elstree 1976,NA,1,NEIL GENZLINGER,"Review: ‘Elstree 1976,’ in a Galaxy Not Far, Far Away",This Jon Spira documentary is about actors who played small roles in parts of the original “Star Wars” that were filmed in London.,2016-05-05,2016-05-06,2017-11-02 4:18,NA,Documentary,0,Jon Spira,0,NA
Enemies of the People,NA,1,STEPHEN HOLDEN,"From the Killing Fields, on a Mission of Truth","Thet Sambath suggests a one-man Cambodian Truth and Reconciliation Commission. Instead of affixing blame, he seeks the healing power of confession.",2010-07-29,2010-07-30,2017-11-02 4:18,NA,Documentary,0,"Rob Lemkin, Thet Sambath",0,0
Enough Said,PG-13,1,A. O. SCOTT,The Woman Who Knew Too Much ,"Nicole Holofcener’s “Enough Said” stars Julia Louis-Dreyfus, James Gandolfini and Catherine Keener.",2013-09-17,2013-10-11,2017-11-02 4:18,NA,Comedy,1,Nicole Holofcener,1,1
Equal Means Equal,NA,1,HELEN T. VERONGOS,Review: ‘Equal Means Equal’ Asks How Far Women Have Really Come,"Kamala Lopez’s fact-packed documentary features legal experts, ordinary women and feminists like Eleanor Smeal and Gloria Steinem.",2016-09-01,2016-09-02,2017-11-02 4:18,NA,Documentary,1,"Kamala Lopez, Gini Sikes",1,0
Equity,R,1,A. O. SCOTT,"Review: In ‘Equity,’ No Room for Sisterhood Amid Gloves-Off Wall Street Warfare","Meera Menon’s film, starring Anna Gunn, challenges stereotypes of ambition, corruption and sexism, even as it exploits their tenacity.",2016-07-28,2016-07-29,2017-11-02 4:18,1605197,Drama,1,"Sarah Megan Thomas (story by), Alysia Reiner (story by), Amy Fox (story by), Amy Fox (screenplay)",1,0
Ernest & Celestine,PG,1,MANOHLA DARGIS,Poignant in Tooth and Claw,"“Ernest & Celestine,” about a mouse and a bear, offers the childhood comfort of a miniature world.",2014-03-13,2014-02-28,2017-11-02 4:18,71442,Animation,1,"Daniel Pennac (scenario and dialogue), Gabrielle Vincent (after: D'après les albums de)",0,1
Escape Fire: The Fight to Rescue American Healthcare,PG-13,1,JEANNETTE CATSOULIS,Pitting Drug Regimens Against Prevention,“Escape Fire” argues that we can switch from a “disease management system” that relies on drugs to one that focuses on prevention over cure.,2012-10-04,2012-10-05,2017-11-02 4:18,97316,Documentary,1,N/A,0,0
Eva,PG-13,1,NEIL GENZLINGER,"Review: In ‘Eva,’ Robot Designer Loves Cute Kid","In Kike Ma&#237;llo&#8217;s Spanish drama, a prodigy returns to his hometown to work on programming an android with the emotional life of a real child.",2015-03-12,2015-03-13,2017-11-02 4:18,10395,Drama,0,"Sergi Belbel, Cristina Clemente (screenplay), Martí Roca (screenplay), Aintza Serra (screenplay)",0,0
Eva Hesse,NA,1,A. O. SCOTT,Review: ‘Eva Hesse’ Offers a Moving Portrait of an Artist’s Brief Life,"Marcie Begleiter’s documentary explores the originality and power of Hesse, who managed to triumph in a male-dominated art world before dying at 34.",2016-04-26,2016-04-27,2017-11-02 4:18,114105,Documentary,1,Marcie Begleiter,1,0
Every Last Child,NA,1,DANIEL M. GOLD,"Review: &#8216;Every Last Child,&#8217; a Front-Line View of the Polio Crisis in Pakistan",Tom Roberts’s documentary examines the struggles of health workers in Pakistan to vaccinate children against polio in the face of mistrust and Taliban attacks.,2015-06-02,2015-06-05,2017-11-02 4:18,NA,Documentary,0,"Tom Roberts, Tom Roberts",NA,NA
Everybody Wants Some!!,R,1,A. O. SCOTT,"Review: In ‘Everybody Wants Some!!,’ Casual Sex and Casual Philosophizing","Richard Linklater calls his latest film, set in 1980, a “spiritual sequel” to “Dazed and Confused,” his 1970s high school masterpiece.",2016-03-29,2016-04-08,2017-11-02 4:18,NA,Comedy,0,Richard Linklater,0,0
Everything Is Copy,NA,1,JEANNETTE CATSOULIS,"Review: ‘Everything Is Copy,’ a Son’s Tribute to Nora Ephron",Celebrities and family members discuss and honor Ephron’s tartness in this documentary from Jacob Bernstein.,2016-03-17,2016-03-21,2017-11-02 4:18,NA,Documentary,0,Jacob Bernstein,0,0
Évocateur: The Morton Downey Jr. Movie,R,1,JEANNETTE CATSOULIS,Fast Rise and Fast Fall of Television’s Tough Guy,“Évocateur: The Morton Downey Jr. Movie” chronicles the rise and fall of this 1980s talk-show host.,2013-06-06,2013-06-07,2017-11-02 4:18,21476,Documentary,0,Daniel A. Miller,0,0
Evolution,NA,1,GLENN KENNY,Review: ‘Evolution’ Goes to a Magical Place You Wouldn’t Want to Live In,A young boy’s creepy childhood in a picturesque seaside village with an unsettling goings-on.,2016-11-24,2016-11-25,2017-11-02 4:18,37571347,Comedy,0,"Don Jakoby (story), David Diamond (screenplay), David Weissman (screenplay), Don Jakoby (screenplay)",0,0
Ex Machina,R,1,MANOHLA DARGIS,"Review: In ‘Ex Machina,’ a Mogul Fashions the Droid of His Dreams","In Alex Garland&#8217;s film, an Internet mogul creates a gorgeous robot named Ava, with unsettling consequences.",2015-04-09,2015-04-24,2017-11-02 4:18,19012798,Drama,0,Alex Garland,0,1
Exit Through The Gift Shop,R,1,JEANNETTE CATSOULIS,"On the Street, at the Corner of Art and Trash",A documentary follows a Frenchman who follows Banksy and other street artists.,2010-04-15,2010-05-14,2017-11-02 4:18,3288699,Documentary,0,N/A,0,1
Experimenter,PG-13,1,MANOHLA DARGIS,"Review: In ‘Experimenter,’ Are They Following Orders or Instincts?","In the intellectually playful portrait of the social psychologist Stanley Milgram, the director, Michael Almereyda, turns a biopic into a mind game.",2015-10-15,2015-10-16,2017-11-02 4:18,155075,Biography,0,Michael Almereyda,0,0
Eye in the Sky,R,1,STEPHEN HOLDEN,"Review: ‘Eye in the Sky,’ Drone Precision vs. Human Failings","Gavin Hood’s movie is a riveting thriller — and often a grim, suspenseful farce — about drone warfare and its perils.",2016-03-10,2016-03-11,2017-11-02 4:18,16641379,Drama,0,Guy Hibbert,1,0
Fair Game,PG-13,1,A. O. SCOTT,Marital Strife and C.I.A. Obligations,"Sean Penn and Naomi Watts star as Joseph Wilson and Valerie Plame Wilson, the couple at the center of the controversy over whether Iraq had weapons of mass destruction.",2010-11-04,2010-12-03,2017-11-02 4:18,9528092,Biography,0,"Jez Butterworth (screenplay), John-Henry Butterworth (screenplay), Joseph Wilson (book), Valerie Plame Wilson (book)",1,0
Fairhaven,Not Rated,1,STEPHEN HOLDEN,"As Sea Gulls Hover, Three Old Friends Reunite for a Funeral","In Tom O’Brien’s “Fairhaven,” three old friends from a Massachusetts fishing village are reunited for a funeral.",2013-01-10,2013-01-11,2017-11-02 4:18,NA,Comedy,0,"Chris Messina (story), Tom O'Brien (screenplay), Tom O'Brien (story)",1,NA
Farmageddon,Not Rated,1,JEANNETTE CATSOULIS,Government Oversight in Farming,"In the documentary “Farmageddon,” Kristin Canty seeks to show that agribusiness is employing government agencies to harass independent farmers.",2011-07-07,2011-07-08,2017-11-02 4:18,33320,Documentary,1,Kristin Canty,1,NA
Fastball,Not Rated,1,NEIL GENZLINGER,"Review: ‘Fastball,’ on the Mechanics and Poetry of a Pitch","This documentary, written and directed by Jonathan Hock, offers a batter’s point of view on trying to hit a superior fastball.",2016-03-24,2016-03-25,2017-11-02 4:18,NA,Documentary,0,N/A,0,NA
Faults,NA,1,ANDY WEBSTER,"Review: In ‘Faults,’ Mind Games Don’t End Beyond the Cult","This twisty, winningly unsettling feature debut of the director Riley Stearns adds a sometimes darkly comic strain to cult-centric movies.",2015-03-05,2015-03-06,2017-11-02 4:18,NA,Comedy,0,Riley Stearns,0,0
Faust,Not Rated,1,A. O. SCOTT,"The Muse of Goethe, Intensified","“Faust,” the concluding installment of the “Men of Power” tetralogy, is Alexander Sokurov’s freehanded adaptation of Goethe’s great allegorical drama.",2013-11-14,2013-11-15,2017-11-02 4:18,NA,Drama,0,"Gerhart Hauptmann (titles), Hans Kyser (titles), Johann Wolfgang von Goethe (play)",0,NA
Félix et Meira,R,1,JEANNETTE CATSOULIS,"Review: ‘Felix and Meira,’ a Portrait of a Tempted Hasidic Wife","Longing to feel alive, a restless young woman is drawn to someone from a different world in this film directed by Maxime Giroux.",2015-04-16,2015-04-17,2017-11-02 4:18,NA,NA,NA,NA,NA,NA
Fences,PG-13,1,A. O. SCOTT,"Review: Beneath the Bombast, ‘Fences’ Has an Aching Poetry","Starring Denzel Washington, who also directed, and Viola Davis, this film adaptation of August Wilson’s play features performances of unmatched force.",2016-12-15,2016-12-25,2017-11-02 4:18,57642961,Drama,0,"August Wilson (screenplay by), August Wilson (based upon his play ""Fences"")",0,1
Field Niggas,NA,1,GLENN KENNY,Review: ‘Field Niggas’ Is a Meditation on Life on the Streets of East Harlem,"The director Khalik Allah shows people existing in a form of bondage, often created by drug addiction, but he manages to find radiance as well.",2015-10-15,2015-02-01,2017-11-02 4:18,NA,Documentary,0,N/A,NA,0
Finders Keepers,R,1,JEANNETTE CATSOULIS,Review: ‘Finders Keepers’ Finds Humor and Humanity in the Bizarre,This custody battle between an amputee and the man who unwittingly bought his leg is as authentic as the North Carolina vernacular in which it unfolds.,2015-09-24,2015-09-25,2017-11-02 4:18,NA,Horror,0,"Jeffrey Schenck (story), Peter Sullivan (screenplay), Peter Sullivan (story)",1,0
Finding Dory,PG,1,A. O. SCOTT,"Review: In ‘Finding Dory,’ a Forgetful Fish and a Warm Celebration of Differences",The friendly blue fish with short-term memory problems goes looking for her family and takes a star turn in this sequel to “Finding Nemo.”,2016-06-15,2016-06-17,2017-11-02 4:18,486292984,Animation,0,"Andrew Stanton (original story by), Andrew Stanton (screenplay by), Victoria Strouse (screenplay by), Bob Peterson (additional screenplay material by), Angus MacLane (additional story material by)",1,1
Fireworks Wednesday,NA,1,STEPHEN HOLDEN,"Review: ‘Fireworks Wednesday,’ a Domestic Drama From Iran","Asghar Farhadi’s film, set during the boisterous New Year celebrations in Tehran, dissects the imploding marriage of an affluent couple.",2016-03-15,2016-03-16,2017-11-02 4:18,NA,Drama,0,"Asghar Farhadi, Mani Haghighi",0,0
Five Came Back,NA,1,BEN KENIGSBERG,"Review: ‘Five Came Back,’ and Inspired the Likes of Spielberg",A screen adaptation of Mark Harris’s 2014 book adds visuals to the story of five Hollywood directors who served in World War II with cameras in tow.,2017-03-30,2017-03-31,2017-11-02 4:18,NA,Documentary,NA,N/A,0,0
Flight,R,1,MANOHLA DARGIS,"Life Takes Nose Dive, and Settles Into an Abyss","“Flight” is a story of survival that hits many familiar recovery beats, partly because transformation is the only way out when a star plays an addict in an American mainstream movie.",2012-11-01,2012-11-02,2017-11-02 4:18,89400000,Drama,0,John Gatins,1,1
For Colored Girls,R,1,MANOHLA DARGIS,A Powerful Chorus Harmonizing ‘Dark Phrases of Womanhood’,With “For Colored Girls” Tyler Perry works very hard and gets it mostly right.,2010-11-04,2010-11-05,2017-11-02 4:18,37714860,Drama,0,"Tyler Perry (screenplay), Ntozake Shange (play)",1,0
Fort Tilden,R,1,ANDY WEBSTER,"Review: &#8216;Fort Tilden,&#8217; a Comic Odyssey to the Beach",Two self-centered young women from New York embark on a picaresque bike ride and encounter all sorts of complications.,2015-08-13,2015-08-14,2017-11-02 4:18,NA,Comedy,1,"Sarah-Violet Bliss (story), Sarah-Violet Bliss, Brian Lannin (story), Charles Rogers (story), Charles Rogers",1,0
Foxcatcher,R,1,MANOHLA DARGIS, Taken Down by Twisted Ambition ,"Starring Steve Carell and Channing Tatum, &#8220;Foxcatcher,&#8221; directed by Bennett Miller, tells the true-crime story of an Olympic wrestler and his multimillionaire sponsor.",2014-11-13,2015-01-16,2017-11-02 4:18,9744477,Biography,0,"E. Max Frye, Dan Futterman",0,1
Free Fire,R,1,GLENN KENNY,Review: Brie Larson as a Gangster Wrangler in ‘Free Fire’,"Ben Wheatley’s formula for action-movie success: a best actress Oscar winner, dozens of firearms and a warehouse full of testosterone.",2017-04-20,2017-04-21,2017-11-02 4:18,1798483,Action,0,"Amy Jump (screenplay by), Ben Wheatley (screenplay by)",0,0
Free State of Jones,R,1,A. O. SCOTT,Review: Matthew McConaughey Rebels Against Rebels in ‘Free State of Jones’,"Mr. McConaughey plays Newton Knight, the Mississippi farmer who led a dissident Confederate group in the Civil War, and a political coalition after.",2016-06-23,2016-06-24,2017-11-02 4:18,NA,Action,0,"Gary Ross (screenplay by), Leonard Hartman (story), Gary Ross (story)",0,0
Fresh Dressed,NA,1,JON CARAMANICA,Review: &#8216;Fresh Dressed&#8217; Follows Hip-Hop From the Streets to the Runway,"This documentary charts how hip-hop fashion initially absorbed what was around it, and then eventually became the inspiration for everyone else.",2015-06-25,2015-06-26,2017-11-02 4:18,NA,Documentary,0,Sacha Jenkins (story),0,0
From Nowhere,NA,1,STEPHEN HOLDEN,"Review: Immigrants ‘From Nowhere,’ Anxiously Living Under the Radar",Julianne Nicholson plays a Bronx high school teacher who tries to help three undocumented students cope with the threat of being discovered by the authorities.,2017-02-16,2017-02-17,2017-11-02 4:18,5408,Drama,0,"Matthew Newton, Kate Ballen",1,0
From This Day Forward,NA,1,ANDY WEBSTER,Review: ‘From This Day Forward’ Attests to Love’s Adaptability,Sharon Shattuck’s documentary tells her family story of growing up with a transgender parent.,2016-06-23,2016-06-24,2017-11-02 4:18,NA,Drama,0,"Hugo Butler (screenplay), Garson Kanin (adaptation), Thomas Bell (based upon the novel by: ""All Brides Are Beautiful""), Edith Sommer (additional scenes), Charles Schnee (additional scenes)",1,NA
Frozen,PG,1,STEPHEN HOLDEN,"From the Heat of Royal Passion, Poof! It’s Permafrost","“Frozen,” from Disney, departs a bit from the company’s traditional princess formula.",2013-11-26,2013-11-27,2017-11-02 4:18,400736600,Animation,0,"Jennifer Lee (screenplay by), Hans Christian Andersen (story inspired by ""The Snow Queen"" by), Chris Buck (story by), Jennifer Lee (story by), Shane Morris (story by)",1,1
Fruitvale Station,R,1,A. O. SCOTT,"A New Year, and a Last Day Alive","“Fruitvale Station,” based on the true story of a Bay Area black man shot by a white police officer on a subway platform, examines the subject with a steady, objective eye.",2013-07-11,2013-07-26,2017-11-02 4:18,11010136,Biography,0,Ryan Coogler,0,0
Fun Size,PG-13,1,ANDY WEBSTER,Halloween Till Dawn,The Nickelodeon star Victoria Justice plays a high-school student chasing down her lost little brother on Halloween in “Fun Size.”,2012-10-25,2012-10-26,2017-11-02 4:18,9402410,Adventure,0,Max Werner,1,NA
Get On Up,PG-13,1,STEPHEN HOLDEN,"He Feels Good, Sometimes","“Get On Up,” directed by Tate Taylor (“The Help”), tells the story of the R&B and funk singer James Brown.",2014-07-31,2014-08-01,2017-11-02 4:18,22838662,Biography,0,"Jez Butterworth (screenplay), John-Henry Butterworth (screenplay), Steven Baigelman (story), Jez Butterworth (story), John-Henry Butterworth (story)",0,0
Get Out,R,1,MANOHLA DARGIS,"Review: In ‘Get Out,’ Guess Who’s Coming to Dinner? (Bad Idea!)","This movie by Jordan Peele, his first as a director of feature films, is a skillful hybrid, blending genres into something terrifying.",2017-02-23,2017-02-24,2017-11-02 4:18,175428355,Horror,0,Jordan Peele,0,1
Gimme Danger,R,1,STEPHEN HOLDEN,"Review: Iggy Pop Bares All, and Nothing, in ‘Gimme Danger’","Jim Jarmusch’s reverent documentary on Iggy Pop, a provocateur, is prim: It includes no retrospective scenes of drug use or the bandmates’ fights.",2016-10-27,2016-10-28,2017-11-02 4:18,439748,Documentary,0,Jim Jarmusch,0,0
Gleason,R,1,GLENN KENNY,"Review: In ‘Gleason,’ a Devastating Diagnosis Prompts a New Mission",Clay Tweel’s documentary chronicles the athlete Steve Gleason’s attempt to leave behind a meaningful legacy for his unborn child as A.L.S. wreaks havoc on his body.,2016-07-28,2016-07-29,2017-11-02 4:18,576589,Documentary,0,Clay Tweel,0,0
Go Go Tales,Not Rated,1,MANOHLA DARGIS,A Bar Where Everybody Knows Your Pole Dance,"In Abel Ferrara’s “Go Go Tales,” a Manhattan strip club owned by Willem Dafoe and run by Bob Hoskins faces eviction by Sylvia Miles.",2011-01-06,2011-01-07,2017-11-02 4:18,NA,Comedy,0,"Abel Ferrara, Scott Pardo (screenplay)",0,0
God Bless the Child,NA,1,NICOLAS RAPOLD,Review: &#8216;God Bless the Child&#8217; Follows Neglected Siblings at Play,"Robert Machoian and Rodrigo Ojeda-Beck&#8217;s drama creates a seemingly oblivious world of make-believe, goofing off and hanging out after a mother distressingly drives off.",2015-08-06,2015-08-07,2017-11-02 4:18,NA,Drama,0,Dennis Nemec,1,0
God Loves Uganda,NA,1,JEANNETTE CATSOULIS,"Court the Soul, Pummel the Sexuality",“God Loves Uganda” explores the role of the American evangelical movement in promoting a Ugandan proposal to imprison or even execute homosexuals.,2013-10-10,2013-10-11,2017-11-02 4:18,47991,Documentary,0,"Benjamin Gray, Richard Hankin, Roger Ross Williams",NA,0
God's Own Country,NA,1,JEANNETTE CATSOULIS,"Review: Love Is Wild, if Not Pretty, in ‘God’s Own Country’","This feature debut of the writer and director Francis Lee is a bracing, sometimes brutal movie.",2017-10-24,2017-10-25,2017-11-24 17:44,NA,Drama,0,Francis Lee,0,1
Good Kill,R,1,STEPHEN HOLDEN,Review: &#8216;Good Kill&#8217; Stars Ethan Hawke Fighting Enemies Half a World Away,"This Andrew Niccol film is a blunt critique of remote-control warfare, which is transforming the reality of battle into a video game whose casualties are pixels on a screen.",2015-05-14,2015-05-15,2017-11-02 4:18,NA,Drama,0,Andrew Niccol,1,0
Goodnight Mommy,R,1,JEANNETTE CATSOULIS,Review: Twin Terrors Haunt &#8216;Goodnight Mommy&#8217;,"When Mommy comes back from the hospital a changed person with bandages obscuring her face, her twins take action.",2015-09-10,2015-09-11,2017-11-02 4:18,580389,Horror,1,"Veronika Franz (screenplay), Severin Fiala (screenplay)",0,0
Grandma,R,1,A. O. SCOTT,"Review: In ‘Grandma,’ Lily Tomlin Energizes an Intergenerational Road Trip","Paul Weitz&#8217;s new film, centering on a feminist poet in her 70s and her granddaughter, is a comedy of conflict and solidarity.",2015-08-19,2015-09-18,2017-11-02 4:18,NA,Comedy,0,Paul Weitz,1,1
"Grandma, A Thousand Times",NA,1,JEANNETTE CATSOULIS,Loving Portrayal of a Beiruti Matriarch,"In “Grandma, a Thousand Times” the director Mahmoud Kaabour turns his camera on his spirited grandmother and her rich memories.",2011-12-02,2011-12-09,2017-11-02 4:18,NA,Documentary,0,N/A,1,0
Gravity,PG-13,1,A. O. SCOTT,Between Earth and Heaven,"In Alfonso Cuarón’s “Gravity,” two astronauts marooned in space struggle for survival in rapidly changing circumstances.",2013-10-03,2013-10-04,2017-11-02 4:18,274084951,Drama,0,"Alfonso Cuarón, Jonás Cuarón",1,1
Green Zone,R,1,A. O. SCOTT,"A Search for That Casualty, Truth","In “Green Zone,” action under pressure is a test and a revelation of character.",2010-03-11,2010-03-12,2017-11-02 4:18,3.50E+07,Action,0,"Brian Helgeland, Rajiv Chandrasekaran (book)",0,0
Greenberg,R,1,A. O. SCOTT,Why Even Bother Trying to Connect?,"“Greenberg” is the funniest and saddest movie Noah Baumbach has made so far, and also the riskiest.",2010-03-18,2010-03-26,2017-11-02 4:18,2293918,Comedy,0,"Jennifer Jason Leigh (story), Noah Baumbach (story), Noah Baumbach (screenplay)",1,0
Guidance,NA,1,JEANNETTE CATSOULIS,"Review: In &#8216;Guidance,&#8217; a High School Counselor as a Rotten Role Model","Pat Mills wrote, directed and stars in this black comedy about a former child star who fraudulently gets a job of giving advice to teenagers.",2015-08-20,2015-08-21,2017-11-02 4:18,NA,Comedy,0,Pat Mills,0,0
Guy and Madeline on a Park Bench,NA,1,JEANNETTE CATSOULIS,The Blissed-Out Rhythms of the Young and in Love,"A Boston-based musical commentary on love and art, “Guy and Madeline on a Park Bench” floats on a wave of spontaneity and charm.",2010-11-04,2010-07-01,2017-11-02 4:18,33793,Drama,0,Damien Chazelle,0,0
Haider,NA,1,RACHEL SALTZ,Shakespearean Revenge in a Violent Kashmir,"A mother&#8217;s loyalties and mystery carries the movie &#8220;Haider,&#8221; a version of &#8220;Hamlet.&#8221;",2014-10-02,2014-10-02,2017-11-02 4:18,NA,Action,0,"William Shakespeare (based on the play ""Hamlet"" by), Basharat Peer (screenplay), Vishal Bhardwaj (screenplay), Vishal Bhardwaj (dialogue)",1,0
Hanna Ranch,Not Rated,1,ANDY WEBSTER,"On the Range, With a Conscience","Kirk Hanna, the focus of the documentary “Hanna Ranch,” appeared in “Fast Food Nation.”",2014-05-15,2014-05-16,2017-11-02 4:18,NA,Documentary,0,N/A,NA,NA
Happy End,R,1,GLENN KENNY,"Review: In ‘Happy End,’ Another Unhappy Family From Michael Haneke","Isabelle Huppert, Toby Jones and Mathieu Kassovitz make up a remarkable ensemble cast. But “Happy End” belongs to Jean-Louis Trintignant.",2017-12-21,2017-12-22,2018-01-21 17:44,83292,Drama,0,Michael Haneke,1,0
Harmonium,Not Rated,1,JEANNETTE CATSOULIS,"Review: In ‘Harmonium,’ a Family Lets the Wrong One In",A mysterious man becomes a disruptive presence for a married couple and their daughter in Koji Fukada’s well-acted family drama.,2017-06-15,2017-06-16,2017-11-02 4:18,NA,Drama,0,Kôji Fukada,0,0
Harold and Lillian: A Hollywood Love Story,NA,1,MONICA CASTILLO,Review: ‘Harold and Lillian’ Introduces a Hollywood Power Couple,"Meet the husband-and-wife team that inspired some of the most memorable moments onscreen, from “The Graduate” to “The Birds.”",2017-04-27,2017-04-28,2017-11-02 4:18,NA,Documentary,0,Daniel Raim,1,0
Harry & Snowman,NA,1,HELEN T. VERONGOS,Review: ‘Harry & Snowman’ Recalls a Man and a Horse of Powerful Haunches,"Ron Davis’s documentary is about Snowman, a white gelding and championship show jumper in his time, and Harry deLeyer, who raised him.",2016-09-29,2016-09-30,2017-11-02 4:18,559045,Documentary,0,Ron Davis,0,0
Harry Potter and the Deathly Hallows: Part 1,PG-13,1,A. O. SCOTT,Time for Young Wizards to Put Away Childish Things,"There is an especially somber and scary coloration to this installment, as Harry Potter faces a perilous grown-up world.",2010-11-18,2010-11-19,2017-11-02 4:18,294980434,Adventure,0,"Steve Kloves (screenplay), J.K. Rowling (novel)",0,1
Harry Potter and the Deathly Hallows: Part 2,PG-13,1,MANOHLA DARGIS,Class Dismissed,"Childhood ends with tears and howls and swirls of smoke, the shock of mortality and bittersweet smiles in the grave, deeply satisfying final movie in the “Harry Potter” series.",2011-07-13,2011-07-15,2017-11-02 4:18,381000185,Adventure,0,"Steve Kloves (screenplay), J.K. Rowling (novel)",0,1
He Never Died,R,1,NEIL GENZLINGER,"Review: In ‘He Never Died,’ Mastering Longevity if Not Social Skills","Henry Rollins plays Jack, who has spent centuries perfecting the art of being nondescript, in this enjoyably strange horror film.",2015-12-17,2015-12-18,2017-11-02 4:18,NA,Comedy,0,Jason Krawczyk,0,0
Heaven Knows What,R,1,NICOLAS RAPOLD,Review: &#8216;Heaven Knows What&#8217; Dramatizes a Young Junkie&#8217;s Life,"Directed by Josh and Benny Safdie, &#8220;Heaven Knows What&#8221; chronicles an addict and her pursuits on the streets of New York.",2015-05-28,2015-05-29,2017-11-02 4:18,80013,Drama,0,"Arielle Holmes (inspired by a book written by), Josh Safdie, Ronald Bronstein",1,0
Heist: Who Stole the American Dream?,NA,1,STEPHEN HOLDEN,Tracing the Great Recession to a Memo 40 Years Ago,The documentary “Heist: Who Stole the American Dream?” argues that the seeds of the recent financial collapse were sown 40 years ago in a memo.,2012-03-01,2012-03-02,2017-11-02 4:18,NA,Documentary,1,"Frances Causey, Hollis Rich",1,0
Hell or High Water,R,1,JEANNETTE CATSOULIS,Review: A Waltz Across Texas in ‘Hell or High Water’,Brothers on a bank-robbing spree make their way through a desert of economic decline in this film by David Mackenzie.,2016-08-11,2016-08-12,2017-11-02 4:18,26973524,Action,0,Taylor Sheridan,0,1
Her,R,1,MANOHLA DARGIS,"Disembodied, but, Oh, What a Voice","“Her,” directed by Spike Jonze, centers on a lonely soul who is drawn out by the female voice of his computer operating system.",2013-12-17,2014-01-10,2017-11-02 4:18,17901029,Drama,0,Spike Jonze,0,1
Hereafter,PG-13,1,A. O. SCOTT,The Dead Have Messages for the Land of the Living,A new film from Clint Eastwood contemplates whether the end of life is really the end.,2010-10-14,2010-10-22,2017-11-02 4:18,32741596,Drama,0,Peter Morgan,1,1
Hide Your Smiling Faces,Not Rated,1,STEPHEN HOLDEN,A Boyhood Summer of Darkness,Daniel Patrick Carbone’s haunting debut feature offers a dark vision of boyhood adventure in a great outdoors fraught with peril.,2014-03-27,2014-03-28,2017-11-02 4:18,NA,Drama,0,Daniel Patrick Carbone (screenplay),0,0
Higher Ground,R,1,A. O. SCOTT,Navigating Between Faith and Skepticism,"Vera Farmiga stars in this film, her directorial debut, a drama that weighs the merits of faith against a secular sensibility.",2011-08-25,2011-08-26,2017-11-02 4:18,841056,Drama,1,"Carolyn S. Briggs (screenplay), Tim Metcalfe (screenplay), Carolyn S. Briggs (memoir ""This Dark World"")",0,0
