"display_title","summary_short","critics_pick"
"California Typewriter","This documentary directed by Doug Nichol plumbs the depths of devotion to a machine whose day might appear to be over",0
"Call Me Lucky","Bobcat Goldthwait8217s documentary about his mentor chronicles the work he has done not only as a comic but also to rid the Internet of child pornography",0
"Camera Obscura","This horror movie the feature debut of the writerdirector Aaron B Koontz has good actors but too many motifs derived from other fright films",0
"Cameraman: The Life and Work of Jack Cardiff","The Oscarwinning career of Jack Cardiff a cinematographer for the Archers and others covered almost a century of the movies",0
"Can We Take a Joke?","In this onesided documentary comedians like Gilbert Gottfried and Lisa Lampanelli argue that people need to develop thicker skin",0
"Can't Stop, Won't Stop: A Bad Boy Story","Daniel Kaufmans documentary covers a lot of Mr Combss history as it records preparations for Bad Boy reunion concerts in Brooklyn",0
"Canners","A documentary follows bottle and can collectors in New York as they toil to fill their carts for 30 or 40 a day",0
"Captain America: Civil War","Captain America Civil War does not in any way transcend the conventions of the genre On the contrary it succeeds because it doesnt really try",0
"Captain America: The First Avenger","Captain America like its unapologetically corny hero is propelled by unpretentious and plucky ingenuity",0
"Captain America: The Winter Soldier","Producers describe Captain America The Winter Soldier a sequel in the comicbookbased franchise as a blend of action film and political thriller",0
"Captain Underpants: The First Epic Movie","DreamWorks brings the book series to the screen riding the voices of Kevin Hart and Thomas Middleditch and a story featuring huge bathroom fixtures",0
"Carancho","After informing us that traffic accidents are the leading cause of death for Argentines under 35 Carancho introduces the bottom feeders who profit from vehicular tragedy",0
"Cardboard Boxer","Thomas Haden Church stars as a lonely skid row denizen whose life gains a new dimension after he finds a disheartened childs diary",0
"Carmel","Personal reminiscence and Israeli history are woven into a dense occasionally impenetrable cinematic poem in Amos Gitais film Carmel",0
"Carmen in 3D","Carmen in 3D brings a Royal Opera House performance to theatergoers willing to wear those glasses",0
"Carmo, Hit the Road","Carmo Hit the Road ambles through some beautiful jungleandriver landscapes without really going anywhere",0
"Carrie","Bullied in the school gym the telekinetic teenager again wields her power in the remake of Carrie",0
"Cars 2","Mater the tow truck voiced by Larry the Cable Guy is front and center in Pixars new fourwheeled adventure",0
"Cartel Land","Matthew Heineman8217s ontheground film profiles leaders of two vigilante groups fighting drug gangs one in Arizona and the other in Michoac225n Mexico",0
"Cas & Dylan","The film follows a pair of mismatched travelers heading across Canada",0
"Casa Grande","This Brazilian film charts a teenage boys journey from selfentitlement to a painful understanding of class privilege",0
"Case 39","Rene Zellweger and Bradley Cooper star in Christian Alvarts thriller the latest entry in the demonchild genre",0
"Casino Jack","Casino Jack starring Kevin Spacey tells the story of Jack Abramoff",0
"Cassadaga","Cassadaga set in a Florida town that is a hub for psychics centers on a deaf artist looking for solace after her sisters death",0
"Casting JonBenet","In a conceptual exercise actors audition for roles in the celebrated case as a way of showing how people are still preoccupied by it",0
"Cat Run","Cat Run a puerile violent comedy directed by John Stockwell is an incoherent buddy movie that features severed body parts and naked prostitutes",0
"Caterpillar","A woman faces her husband just returned from the SinoJapanese wars limbless and deaf",0
"Catfish","Henry Joost and Ariel Shulmans documentary the other Facebook movie explores the consequences of social networking",0
"Cats & Dogs: Revenge of Kitty Galore","Cats  Dogs The Revenge of Kitty Galore is a spyandactionfilm pastiche that charms less than its predecessor Cats  Dogs 2001",0
"Caught in the Web","A woman whose chance behavior goes viral online discovers the consequences when shes subject to cyberbullying in Caught in the Web a Chinese film directed by Chen Kaige",0
"CBGB","CBGB is an elegy to that defunct nightclub in the East Village and its owner and presiding spirit Hillel Kristal",0
"Cell","This film dated despondent and pretty much a disaster plays like a series of nods to other science fictionhorror hybrids",0
"Censored Voices","In a film by Mor Loushy Amos Oz and Avraham Shapira revisit talks they recorded with Israeli soldiers returning from the conflict in 1967",0
"Central Intelligence","This espionage comedy which also stars Dwayne Johnson accomplishes its mission of being aggressively juvenile",0
"Certain Women","Kelly Reichardts film centers on a collection of women in a small town and their individual tensions sorrow and longing",0
"Cesar Chavez","Diego Lunas Cesar Chavez reconstructs the emergence of the United Farm Workers organization in the 1960s and focuses on the movements leader who died in 1993",0
"Cezanne and I","A new film offers an intimate searching portrait of the turbulent friendship between the writer and the painter",0
"Champs","This documentary by Bert Marcus assesses boxing through three success stories",0
"Chander Pahar","Chander Pahar centers on a Bengali boy who sets out in search of gold and diamond mines and confronts a cave monster",0
"Change of Plans","Change of Plans gathers 11 people and throws them into a bouillabaisse of domestic and romantic complication",0
"Chappie","The latest film from the director of 8220District 98221 and 8220Elysium8221 is set in the usual bummer future and wavers uncertainly between laughter and tears",0
"Charlie St. Cloud","In a melodrama touched by the supernatural Zac Efron cares for his dead younger brother",0
"Charlotte Rampling: The Look","A documentary portrait of the enigmatic Charlotte Rampling with her scattered observations on her films and life love and death",0
"Chasing Mavericks","In Chasing Mavericks Gerard Butler takes a young surfer under his wing to tutor him in the ways of a famed California surf break",0
"Chasing Trane: The John Coltrane Documentary","John Scheinfelds documentary about John Coltrane draws on interviews including those with Bill Clinton Carlos Santana and Cornel West",0
"Chavela","The documentary about the singer Chavela Vargas provides a biography but doesnt give a strong sense of the musicians power",0
"Chef","In Chef the director and writer Jon Favreau plays a highend Los Angeles chef whose rise to gastronomic stardom is abruptly ended by a restaurant critic",0
"Chennai Express","The Bollywood superstar Shah Rukh Khan plays a man kidnapped by hoods and taken to an Indian village in Chennai Express",0
"Chernobyl Diaries","Six foreign tourists in Ukraine encounter carnivorous humanoids in Chernobyl Diaries",0
"Childless","The movie written and directed by Charlie Levi follows a group of Angelenos dealing with problems among them the death of a child",0
"Children of God","Children of God tells a story of a romance in Eleuthera and the homophobia it attracts",0
"Chimpanzee","Chimpanzee follows Oscar who is orphaned and then adopted by an alpha male in this latest piece of gorgeously shot pablum from Disneynature",0
"Chinese Zodiac","Jackie Chan revisits a quest for totemic animals in Chinese Zodiac",0
"CHIPS","This unrepentantly lewd comedy based on the 197783 television series of the same name stars Dax Shepard who also wrote and directed",0
"Chloe","A prostitute stirs up chaos in the life of a married couple",0
"Christine","In this dramatization of a true story Rebecca Hall is riveting as Christine Chubbuck a television news reporter who killed herself on the air",0
"Chronically Metropolitan","The movie featuring highincome characters in lowstakes situations finds a writer returning home to Manhattan to win back a lost love",0
"Chronicle","In Josh Tranks Chronicle three teenage boys inexplicably acquire extraordinary powers",0
"Chronicling A Crisis","Chronicling a Crisis is a deeply honest and scattered documentary",0
"Churchill","This film reexamines Winston Churchills image as a gruff British bulldog of a leader by shining a light on his struggle with depression",0
"Cinderella","Much of the fairy tale remains the same in the latest version but the writer does add some dimensionality to the standard conception of the stepmother",0
"Cirkus Columbia","Set in Bosnia and Herzegovina Danis Tanovics Cirkus Columbia is a scalding black comedy about the insanity of war",0
"Cirque Du Soleil: Worlds Away","Andrew Adamson directs a 3D film with the easytorecognize hardtodescribe Cirque du Soleil blend of athletic bravura surreal wit and abstract familyfriendly eroticism",0
"Citizen Jane: Battle for the City","Jane Jacobs fought against Robert Moses plans to develop Lower Manhattan This documentary revisits their legendary feud",0
"Citizen Soldier","This documentary powerfully uses footage to track a group of American soldiers during a tour of duty in Afghanistan in 2011",0
"City Island","City Island is a professionally executed farce of the yellingfamily variety",0
"City of Ghosts","In this documentary Matthew Heineman Cartel Land focuses on the gutsy Syrian citizenjournalist group called Raqqa Is Being Slaughtered Silently",0
"Claire in Motion","In this film the latest written and directed by Lisa Robinson and Annie J Howell a wife searches for clues and finds larger unanswered questions",0
"Clash of the Titans","A remake of a 1981 film features swords sandals and monsters this time around in 3D",0
"Climate of Change","In Climate of Change the director Brian Hill has traveled the planet to assemble portraits of citizens who are thinking globally and acting locally",0
"Closed Circuit","In Closed Circuit by John Crowley two London lawyers professional lives become muddied by a shared past",0
"Cloud Atlas","Cloud Atlas which lavishly adapts the David Mitchell novel is a film about migratory souls and wayward civilizations loaded with soaring themes and flights of feeling",0
"Cloudy With a Chance of Meatballs 2","Cloudy With a Chance of Meatballs 2 an animated sequel finds its goofy characters in a quandary involving living food products",0
"Cockneys Vs. Zombies","In Cockneys vs Zombies a nursing home and an East London way of life are threatened by a zombie takeover",0
"Coco","The movie delivers moments of cinematic rigor and playful popculture erudition And though it deals with the afterlife dont let that scare you",0
"Coco Chanel & Igor Stravinsky","Coco Chanel  Igor Stravinsky depicts the shortlived affair of two 20thcentury titans and their selfish competitive passion",0
"Code of the West","The 2010 campaign to repeal Montanas legalization of medical marijuana is the subject of the documentary Code of the West",0
"Codependent Lesbian Space Alien Seeks Same","A lonely Manhattanite and an exiled extraterrestrial find interspecies contentment in Codependent Lesbian Space Alien Seeks Same",0
"Cold Comes the Night","Cold Comes the Night pits a young motel owner against a criminal who takes her and her daughter hostage to recover a fortune in cash",0
"Cold Turkey","In Cold Turkey the adult children returning for a family Thanksgiving all hope their father can give them some money",0
"Cold War 2","This action film by Longman Leung and Sunny Luk follows the 2012 crime film Cold War a tense engaging cop thriller",0
"Coldwater","Coldwater Vincent Grashaws first feature is set at a juvenile reform institution in the middle of nowhere",0
"Collateral Beauty","The movie starring Will Smith riffs on A Christmas Carol as it tells a story of a man who experiences the loss of a child",0
"Colombiana","In Colombiana directed by Olivier Megaton Zoe Saldana takes her place among bigscreen heroines who play very rough",0
"Colonia","A flight attendant is enjoying a glossy stopover in Chile with a German living there when the 1973 Pinochet coup sweeps them up",0
"Come and Find Me","Aaron Paul of Breaking Bad and Annabelle Wallis star as a couple torn asunder in this thriller which Zack Whedon wrote and directed",0
"Come Out and Play","Come Out and Play is the Belarussian director Makinovs debut feature about feral children on an island",0
"Come Undone","Silvio Soldinis film Come Undone an Italian drama of infidelity measures the daybyday emotional costs of an affair",0
"Coming Through the Rye","The film written and directed by James Sadwith is a fictionalized version of Mr Sadwiths meeting with JD Salinger",0
"Commitment","In Commitment a North Korean spy poses as a South Korean teenager",0
"Compadres","A former Mexican police officer tracking down crime syndicate loot forms an alliance with a young American hacker who played a small role in moving it",0
"Company Town","Sick residents environmental pollution and questions of corporate accountability in a small town in Arkansas",0
"Complete Unknown","In Joshua Marstons film a man with a shaky marriage meets an unnerving old flame who has lived under a series of assumed personas",0
"Con Artist","Michael Sladeks documentary Con Artist examines the artist Mark Kostabi who has relentlessly spoofed the relationship between art and commerce",0
"Conan the Barbarian","Conan the Barbarian starring Jason Momoa as the title character delights in gore and swords",0
"Concussion","Will Smith plays Bennet Omalu whose findings in an autopsy of a former profootball player led to an epic clash with the NFL",0
"Contraband","In Contraband Mark Wahlberg has to smuggle in money from Panama but the story is upstaged by the cinematography",0
"Contracted","A lesbians unexpected sexual coupling with a strange man has horrific ramifications",0
"Contracted: Phase II","This splatterfest directed by Josh Forbes wastes no time picking up where 20138217s 8220Contracted8221 left off",0
"Conviction","Hilary Swank plays Betty Anne Waters in Conviction about a sisters dogged effort to free a brother sentenced to life for murder",0
"Cook County","In Cook County a family faces the perils of drug addiction and child care",0
"Cook Off!","This mockumentary about a cooking competition features Melissa McCarthy but is being released 10 years after it was first shown at a comedy festival",0
"Cooties","Tainted chicken nuggets in the cafeteria lead to a blood bath as teachers battle an undead uprising",0
"Cop Car","Jon Watts8217s film in its selfconsciousness and breezy instrumental violence ambitiously announces itself as the latest spawn of neoexploitation artists like Quentin Tarantino",0
"Cop Out","From time to time Cop Out offers glimpses of the giddy goofy delight it might have been",0
"Copenhagen","Love plays tricks on an American traveler portrayed by Gethin Anthony seeking answers about his ancestry in Denmark",0
"Copperhead","Billy Campbell plays a New York farmer who was no fan of slavery but against the Civil War leading an antislavery firebrand to turn the town against him",0
"Cost of a Soul","The drama Cost of a Soul follows two Iraq War veterans back home to Philadelphia and the families they left behind",0
"Costa da Morte","The filmmaker Lois Pati241o8217s subject the Coast of Death in Galicia Spain earned its name from a history of shipwrecks",0
"Countdown to Zero","Paying to see Countdown to Zero is like tipping a fortuneteller to predict the manner of your death",0
"Counting","Jem Cohen turns out to be a type of spaceage traveler if one who8217s crossing cinematic time",0
"Country Strong","Gwyneth Paltrow plays an alcoholic countrywestern star in Shana Festes new film Country Strong",0
"Courageous","Courageous is about a Georgia police officer whose job exposes him to social decay and spiritual desolation wrought by fatherless homes strengthening his devotion to conservative family values",0
"Cowboys & Aliens","In Cowboys  Aliens Daniel Craig rides into the New Mexico Territory and wrangles extraterrestrials that look like cousins of the monsters from the Alien films",0
"Cracks","Cracks a gothically moody girls school drama adapted from a Sheila Kohler novel verges on a horror film",0
"Crash Pad","A slacker his lover and his lovers husband make a sticky love triangle in this awkward comedy",0
"Crazy, Stupid, Love","Crazy Stupid Love packed with appealing stars is essentially a study in the varieties of masculine sexual confusion",0
"Creep","The actor and director Mark Duplass stars as a man seeking to leave a legacy for his unborn child",0
"Criminal","In Ariel Vromens action film Kevin Costner plays a convict with an altered brain used to capture a CIA officers memories",0
"Crimson Peak","The horror and scifi specialist Guillermo del Toro explores a genre that has receded in recent years adding gore ghosts and smatterings of Henry James",0
"Crooked House","Glenn Close Julian Sands Gillian Anderson and Christina Hendricks make up an allstar roster of suspects in this Agatha Christie adaptation",0
"Crown Heights","Based on a true story Matt Ruskins film stars Lakeith Stanfield as a man who spent decades in prison for a crime he did not commit",0
"Crumbs","Ninja Turtles Michael Jackson records and sports celebrities are the crumbs of civilization that hold whats left of the world in thrall in this feature debut by Miguel Llans",0
"Cuba and the Cameraman","The filmmaker Jon Alpert has been visiting and documenting Cuba for 45 years His new movie looks back fondly at its people and its leader",0
"Cuban Fury","In Cuban Fury the British comic Nick Frost stars as a former child salsadancing champ who brushes up on his skills to woo his new American boss",0
"Cut to Black","Cut to Black has a lowlife atmosphere as well as a brokendown private eye a stripper in trouble and a shady boyfriend",0
"Cyrus","Jonah Hill stars in Jay and Mark Duplasss Cyrus as a manchild with serious mommy issues",0
"Da Sweet Blood of Jesus","This remake of Bill Gunn8217s 8220Ganja and Hess8221 is a stylishly shot coolly contemplative homage to the original",0
"Daddy's Home","A contentedly married mans relationship with his stepchildren comes under siege when the childrens biological father comes back into their lives",0
"Daddy's Home 2","Mel Gibson gets off lightly as a crass paterfamilias in this comedy sequel to the hit starring Will Ferrell and Mark Wahlberg",0
"Dallas Buyers Club","Matthew McConaughey stars as an unlikely advocate for patients with HIV taking his treatment into his own hands in Dallas Buyers Club",0
"Dangal","This Bollywood film about a father who trains his two daughters to be wrestlers sets emotions to full blast and wears it heart firmly on its sleeve",0
"Daniel and Ana","Michel Francos debut feature looks at the fallout of the kidnapping of a brother and sister from a welloff family",0
"Danny Collins","In Dan Fogelman8217s comic drama a 40yearold letter from John Lennon could change a jaded older singer8217s life",0
"Dark Awakening","Dean C Jones8217s film depicts a smalltown prosecutor who moves with his family into his deceased mother8217s house only to be pestered by its spectral residents",0
"Dark Skies","Dark Skies directed by Scott Stewart retools the hauntedhouse thriller for recessionary times",0
"Dark Summer","In 8220Dark Summer8221 a teenager becomes the victim of his online obsession",0
"Dark Was the Night","The director Jack Heller8217s horror film draws its talent from television Kevin Durand Lukas Haas and Bianca Kajlich",0
"Darkest Hour","Gary Oldman plays Winston Churchill in Joe Wrights drama about the early days of World War II",0
"Darkness Rising","A woman returns to the site of a family murder only to find the evil spirit that caused it is still hanging around",0
"Darwin","Darwin is Nick Brandestinis portrait of a tiny California town nestled amid the arid landscapes of Death Valley",0
"Date Night","Tina Fey and Steve Carell star as a married couple who find unwanted adventure after they decide to have an evening out in Manhattan",0
"Days of Grace","The film uses three plotlines that take place during successive World Cups in 2002 2006 and 2010",0
"Dead Man Down","In Dead Man Down a thug with a secret past squares off with a disfigured woman seeking revenge for an attack",0
"Dead Man's Burden","In Dead Mans Burden a woman and her husband wring a living from her familys parched homestead watched over by the accumulating graves of her unlucky kin",0
"Deadline","A real case is dressed up as fiction in Deadline a film about the killing of a young AfricanAmerican man",0
"Deadpool","This eagertoplease comicbook movie starring Ryan Reynolds and directed by Tim Miller is the latest entry in the Marvel universe",0
"Dealin' With Idiots","In Dealin With Idiots Jeff Garlin lampoons the obsessions of adults with children on a baseball team",0
"Dealt","This documentary focuses on the hyperkinetic card magician Richard Turner",0
"Dean","The comic tries his hand at writing and directing a feature film producing a sweet humorous drama about loss",0
"Dear John","Dear John may not be strong medicine but it delivers an effective pleasing dose of pure sentiment and vicarious heartache",0
"Death at a Funeral","Neil LaButes version of Death at a Funeral moves the action to Los Angeles with a predominantly black cast",0
"Death Note","Adam Wingard has adapted this sprawling Japanese manga series about a high schooler whose world is upended by an ancient notebook",0
"Deathgasm","Jason Lei Howdens gory film centers on a town where residents are inadvertently turned into demons by a teenage bands music",0
"Decoding Annie Parker","Decoding Annie Parker follows two roads to the discovery of a genetic link to breast cancer A Canadian woman with numerous dead relatives and the same disease that killed them and a scientist doggedly working on a farfetched theory",0
"Deconstructing Dad: The Music, Machines, and Mystery Of Raymond Scott","In Deconstructing Dad Stan Warnow tries to understand his elusive father the musical inventor Raymond Scott",0
"Deepwater Horizon","Peter Bergs film dramatizes a familiar story and stands as a work of popular narrative for an age of corporate impunity",0
"Default","In Simon Brand8217s film 8220Default8221 created from found footage a pirate who wants to be called 8220terrorist8221 makes an unusual proposition",0
"Delhi Belly","Starting with the pride of place given the digestive problem of the title Delhi Belly thumbs its nose at propriety",0
"Delhi Safari","Animals whose forest home is being threatened by callous developers decide to hike to New Delhi to try to get their grievances heard",0
"Delivery Man","In Delivery Man Vince Vaughn plays a sperm donor who learns he has sired more than 500 children",0
"Delta","When the liveliest character in a movie is the heroines pet turtle you know youre in for some seriously stately filmmaking",0
"Delusions of Guinevere","In 8220Delusions of Guinevere8221 a former child actress uses social media to get attention",0
"Demolition","Mr Gyllenhaal portrays a banker recovering from the loss of his wife with Naomi Watts playing a customer service representative who draws his attention",0
"Denial","The libel trial of a historian brought by a Holocaust denier is dramatized in this sober and methodical film But the movie lacks an emotional flash point",0
"Der Turm","Christian Schwochow8217s dramas 8220The Tower8221 and 8220West8221 deal with paranoia in East and West Berlin for very different people in different decades",0
"Desierto","Lots of carnage and only a little back story equal a grim movie",0
"Desolation","This psychointhewoods tale benefits from sensitive writing and organic performances",0
"Despicable Me","Despicable Me the 3D animated feature relies on the funny voices of TV and movie actors like Steve Carell who plays a grumpy trying to steal the Moon",0
"Despicable Me 2","With its frantic Looney Tunesstyle madness Despicable Me 2 is consistently diverting and so cute youll want to pet it",0
"Despicable Me 3","Steve Carell and Kristen Wiig revisit their familiar characters but the goingson show signs of wear even as the energy level escalates",0
"Detective Byomkesh Bakshy","The detective who first appeared in the 1930s in stories by Saradindu Bandyopadhyay tackles a mystery in a film by Dibakar Banerjee",0
"Detention","Joseph Kahn brings together that classic cinematic pair murder and prom night as the underpinning for Detention",0
"Devil","The first in a series based on ideas by M Night Shyamalan",0
"Devil's Due","Devils Due centers on a couple who discover theyre expecting a baby after a honeymoon outing that they cant fully recall Hmm",0
"Diary of a Wimpy Kid","In Diary of a Wimpy Kid episodes that might be howlingly funny on the page turn weirdly gross and sadistic on screen",0
"Diary of a Wimpy Kid: Dog Days","The pains of adolescence are exposed in the third film based on the Diary of a Wimpy Kid books",0
"Diary of a Wimpy Kid: Rodrick Rules","Diary of a Wimpy Kid Rodrick Rules is the second film to come from Jeff Kinneys illustrated childrens books",0
"Diary of a Wimpy Kid: The Long Haul","Greg and his brothers are dragged on a dreary road trip by their parents You can probably guess the rest",0
"Difret","This docudrama centers on a girl who is taken in by a lawyer after being charged with murder for shooting a man who tried to kidnap her for the purpose of marriage",0
"Dig Two Graves","Hunter Adams shows his skill as a filmmaker delivering a chiller that conjures eeriness and dread without defaulting to abundant gore",0
"Digging for Fire","While taking care of a clients home a couple whose marriage is already strained takes some time apart",0
"Dina","An intimate affecting film about a couple with autism as they plan their wedding",0
"Dinner for Schmucks","Dinner for Schmucks is in some ways an exemplary modern Hollywood comedy",0
"Dior and I","This documentary largely takes place in 2012 when Dior8217s legacy is placed in the hands of Raf Simons who has just eight weeks to produce his first couture collection for the company",0
"Dirty Grandpa","In this comedy directed by Dan Mazer Mr De Niros character cajoles his grandson to take a road trip to Florida with him in time for spring break",0
"Dirty Weekend","Matthew Broderick and Alice Eve play colleagues stranded in Albuquerque who try to piece together what happened the last time one of them was there",0
"Disco & Atomic War","Disco and Atomic War Jaak Kilmis lighthearted documentary describes the effect of American television shows from Finland on the Soviet state in Estonia in the 1980s",0
"Disorder","This movie from Alice Winocour follows a veteran returning to France from Central Asia who takes what seems to be a fairly straightforward security job",0
"Divergent","In its movie incarnation Veronica Roths dystopian novel Divergent has highstakes action a gutsy teenage heroine who is an outlier and romance between warriors",0
"Divorce Corp","The documentary Divorce Corp argues that lawyers and courts collude to make divorces as expensive and drawnout as possible",0
"Dixieland","Hank Bedfords atmospheric film set in Mississippi focuses on a man who is trying to make a fresh start but is nonetheless lured by the prospect of easy money",0
"Do It Like An Hombre","In this romantic comedy a man cant handle his best friends revelation that hes gay throwing their circle of friends and family into disarray",0
"Dog Sweat","In Dog Sweat surreptitiously filmed in Tehran young Iranians are in love and in revolt",0
"Dolphin Boy","An Arab teenager who is severely beaten after texting a girl in his class uses swimming with dolphins as a path to recovery in Dolphin Boy a documentary set in Israel",0
"Dolphin Tale","Morgan Freeman and Nathan Gamble star in Dolphin Tale a film inspired by an actual dolphin rescue",0
"Dolphin Tale 2","Dolphin Tale 2 is the story of the humans who love one brave dolphin and the race to find a new playmate for her because otherwise theyll lose her to another aquarium",0
"Domain","In Patric Chihas Domain a teenager exploring his homosexuality becomes fascinated with his aunt",0
"Don Jon","Joseph GordonLevitt portrays a man hooked on pornography in Don Jon which he also wrote and directed",0
"Don Verdean","Jared and Jerusha Hesss film stars Sam Rockwell as an archaeologist who finds himself in a quandary after a pastor asks him to track down Holy Land artifacts",0
"Don't Be Afraid of the Dark","Dont Be Afraid of the Dark is a reimagining of the 1973 television movie that terrified Guillermo del Toro as a boy",0
"Don't Stop Believin': Everyman's Journey","A young Filipino gets to live his Steve Perry dream in Dont Stop Believin Everymans Journey",0
"Don’t Breathe","With solid suspense murky lighting and gotcha scares Fede Alvarezs film will probably please fans intrigued by those elements",0
"Don’t Hang Up","This formulaic horror movie features teenagers behaving badly and suffering the consequences",0
"Don’t Worry Baby","This mildly humorous Julian Branciforte film fortified with veteran actors centers on whether a photographer or his father is the parent of a young girl",0
"Doomsdays","Two vagabonds go on a Catskills adventure in this film from Eddie Mullins",0
"Dope","In Rick Famuyiwa8217s film Malcolm a smart student and musician prepping for a Harvard interview does a favor for a drug dealer and winds up with a gun and a backpack of contraband",0
"Double Dhamaal","Double Dhamaal is a mindcontracting Hindi comedy that seems to take its cues from the Three Stooges the Keystone Kops and every Bollywood clich it can chew up and spit back as farce",0
"Double Play: James Benning and Richard Linklater","The film directors Richard Linklater and James Benning chat about their shared interests in the documentary Double Play",0
"Dough","Jonathan Pryce and Jerome Holder star in this feature about an elderly Jewish baker in London who ends up hiring a young black Muslim as his assistant",0
"Down Terrace","Ben Wheatleys deadpan crime comedy Down Terrace features a real fatherandson team",0
"Downsizing","Alexander Payne looks at the big picture in his new movie",0
"Dr. Seuss' The Lorax","Dr Seuss The Lorax the movie version of the childrens book is a noisy useless piece of junk reverseengineered into something resembling popular art",0
"Dracula Untold","Gary Shore8217s 8220Dracula Untold8221 is an origin story recasting Prince Vlad the Impaler as an antihero",0
"Draft Day","Kevin Costner plays the beleaguered general manager of the Cleveland Browns in Draft Day",0
"Dragon Blade","This eyeballpopping extravaganza features Jackie Chan John Cusack Adrien Brody and lots of horseriding extras",0
"Dream House","In Dream House Rachel Weisz and Daniel Craig meet with odd neighbors and violence in their new home",0
"Dreamland","Robert Schwartzmans understated sex comedy his first feature is a bittersweet study of a man who hasnt yet taken control of his life",0
"Dreams of A Life","The documentary Dreams of a Life explores the life and death at 38 of the singer Joyce Vincent",0
"Dreams Rewired","This documentary fuses film clips from the 1880s to the 1930s illustrating the human response to new technology",0
"Dredd 3D","The action film Dredd 3D based on the comicbook character depicts a judgmental hero in a futuristic western dystopia",0
"Drive","Drive directed by Nicolas Winding Refn is about an unnamed virtuoso driver played by Ryan Gosling and his Chevy Impala getaway car",0
"Drive Angry","In Drive Angry Nicolas Cage driving a muscle car while he tries to save a baby has a hellish accountant on his trail",0
"Drive Hard","In 8220Drive Hard8221 a former racecar driver becomes the wheelman in a bank robbery",0
"Drone","Jason Bourques thriller examines the moral compromises of meting out death from afar and the unraveling of a home when a victim comes to supper",0
"Drunktown's Finest","Drunktowns Finest by Sydney Freeland gives a look into the lives of young Native Americans in New Mexico",0
"Due Date","An oddcouple buddy road movie Due Date stars Zach Galifianakis and Robert Downey Jr as reluctant car companions",0
"Dukhtar","In Afia Serena Nathaniels directorial debut a Pakistani woman and her 10yearold take to the road to escape plans for the child to be wed to an adult",0
"Dumb and Dumber To","8220Dumb and Dumber To8221 reunites Jim Carrey and Jeff Daniels adds Kathleen Turner and relies heavily on diaper gags",0
"Dumbbells","Were you longing for a grossout comedy about fitness centers Do you need to see more Fabio on screen Dumbbells is here",0
"Dust Up","Ward Roberts stages beatdowns chase scenes and faceoffs in Dust Up",0
"Dying Laughing","Paul Toogood and Lloyd Stantons documentary talks to comedians about the rigors of the road and other stresses of their profession",0
"Dying of the Light","In 8220Dying of the Light8221 a CIA operative is determined to chase down a terrorist who the agency says is already dead",0
"Dzi Croquettes","Tatiana Issa and Raphael Alvarezs documentary Dzi Croquettes recalls the toll that success and other forces took on an allmale Brazilian dance and theater troupe in the 1970s",0
"E-Team","8220ETeam8221 a documentary follows the highrisk work of four globetrotting investigators for the organization Human Rights Watch",0
"Eagles of Death Metal","Colin Hankss documentary follows the band that was playing at the Bataclan in Paris when terrorists struck in 2015",0
"Earth to Echo","In Earth to Echo young friends out for a night of fun in their Nevada surroundings come across an alien robot",0
"Earth's Golden Playground","This film removes any luster from prospecting in the Canada territory where the Klondike gold rush took place more than a century ago",0
"Easy A","Emma Stone is a good girl pretending to have gone bad in Will Glucks high school comedy",0
"Easy Money: Hard to Kill","In Easy Money Hard to Kill the second film of a Swedish franchise a former glamour boy escapes from prison and tries unsuccessfully to eke an honest existence",0
"Eat Pray Love","Eat Pray Love is a sumptuous and leisurely adaptation of Elizabeth Gilberts bestselling memoir of postdivorce globetrotting",0
"Echo Park","A woman who is coming off a longterm relationship meets a man who has seen his American dream fade and has decided to return to his native England",0
"Eddie the Eagle","The film is a heavily fictionalized version of Eddie Edwardss competition as a ski jumper at the 1988 Winter Olympics",0
"Eddie: The Sleepwalking Cannibal","Eddie The Sleepwalking Carnival a horror comedy from Boris Rodriguez centers on a oncefamous artist whose creative fires are stoked by his houseguests very strange habits",0
"Edge of Darkness","Mel Gibson tries a return to moviestar form in Edge of Darkness",0
"Edge of Tomorrow","In Edge of Tomorrow Tom Cruise plays a military man caught in a time loop destined to battle invading aliens day after day in a repeating bid to save Earth from Armageddon",0
"Edge of Winter","Underage driving and drinking mental illness firearms and jealousy in a huntingtrip thriller What could go wrong",0
"El crítico","The Argentine director Hern225n Guerschuny skewers the pretensions of movie criticism in this film starring Rafael Spregelburd",0
"El Sicario Room 164","In El Sicario Room 164 a reformed hit man for the Mexican drug cartel regales us with 20 years worth of kidnapping torture and coldblooded murder",0
"Elevate","Elevate is Anne Bufords moving documentary about Senegalese basketball players given a chance to play and receive an education in the United States",0
"Eloise","Robert Legatos horror movie is a strange mix of the recycled and the surreal Jeannette Catsoulis writes",0
"Elsa Dorfman’s Portrait Photography","Elsa Dorfman a subject of seemingly modest import for a documentary emerges here as an artist of deep compassion empathy humor and wisdom",0
"Elysium","Elysium the second feature from the director Neill Blomkamp stars Matt Damon as a former thief living on a ruined Earth in 2154",0
"Emelie","In this horror film directed by Michael Thelin a girl hired to mind the children in a household turns out to be a dire threat to them",0
"Emperor's New Clothes","This film from Russell Brand and Michael Winterbottom opens Wednesday Dec 16",0
"Empire Of Silver","Empire of Silver Christina Yaos melodrama follows a powerful Chinese merchant family in the late 19th century",0
